PC	eigenvalue	proportion of total	cumulative proportion
577	2.1183	2.1907E-4	0.82488
578	2.12163	2.1942E-4	0.8251
579	5.1875	5.3649E-4	0.82564
580	5.18019	5.3574E-4	0.82617
581	5.17344	5.3504E-4	0.82671
582	2.13354	2.2065E-4	0.82693
583	2.13538	2.2084E-4	0.82715
584	2.14623	2.2196E-4	0.82737
585	2.1493	2.2228E-4	0.82759
586	5.15804	5.3345E-4	0.82813
587	5.15548	5.3318E-4	0.82866
588	5.14823	5.3243E-4	0.82919
589	5.13694	5.3126E-4	0.82972
590	2.1668	2.2409E-4	0.82995
591	5.12341	5.2986E-4	0.83048
592	5.1176	5.2926E-4	0.83101
593	5.11197	5.2868E-4	0.83153
594	5.1077	5.2824E-4	0.83206
595	5.0966	5.2709E-4	0.83259
596	5.08385	5.2577E-4	0.83312
597	5.08004	5.2538E-4	0.83364
598	5.07319	5.2467E-4	0.83417
599	5.06496	5.2382E-4	0.83469
600	2.17891	2.2534E-4	0.83491
601	5.04831	5.221E-4	0.83544
602	5.04053	5.2129E-4	0.83596
603	5.03816	5.2105E-4	0.83648
604	5.02759	5.1996E-4	0.837
605	2.1874	2.2622E-4	0.83722
606	2.19045	2.2654E-4	0.83745
607	2.19574	2.2708E-4	0.83768
608	2.20373	2.2791E-4	0.83791
609	5.01243	5.1839E-4	0.83842
610	5.0073	5.1786E-4	0.83894
611	4.9978	5.1687E-4	0.83946
612	2.21716	2.293E-4	0.83969
613	4.98475	5.1552E-4	0.8402
614	4.97256	5.1426E-4	0.84072
615	4.96852	5.1385E-4	0.84123
616	4.96558	5.1354E-4	0.84175
617	2.22604	2.3022E-4	0.84198
618	4.95444	5.1239E-4	0.84249
619	4.94753	5.1167E-4	0.843
620	4.94869	5.1179E-4	0.84351
621	4.93231	5.101E-4	0.84402
622	4.92676	5.0953E-4	0.84453
623	4.92028	5.0886E-4	0.84504
624	2.23686	2.3134E-4	0.84527
625	2.2376	2.3141E-4	0.8455
626	2.24786	2.3247E-4	0.84574
627	2.24486	2.3216E-4	0.84597
628	4.89986	5.0674E-4	0.84647
629	4.89803	5.0656E-4	0.84698
630	4.89336	5.0607E-4	0.84749
631	2.26029	2.3376E-4	0.84772
632	2.26756	2.3451E-4	0.84796
633	4.87695	5.0438E-4	0.84846
634	4.87237	5.039E-4	0.84896
635	2.27337	2.3511E-4	0.8492
636	4.86057	5.0268E-4	0.8497
637	2.28249	2.3606E-4	0.84994
638	4.85153	5.0175E-4	0.85044
639	4.84434	5.01E-4	0.85094
640	4.84192	5.0075E-4	0.85144
641	4.83074	4.996E-4	0.85194
642	4.82489	4.9899E-4	0.85244
643	4.81307	4.9777E-4	0.85294
644	4.80806	4.9725E-4	0.85343
645	4.80074	4.9649E-4	0.85393
646	4.79861	4.9627E-4	0.85443
647	4.78756	4.9513E-4	0.85492
648	4.78075	4.9443E-4	0.85542
649	4.77466	4.938E-4	0.85591
650	4.76407	4.927E-4	0.8564
651	4.76029	4.9231E-4	0.8569
652	2.30272	2.3815E-4	0.85713
653	2.30643	2.3853E-4	0.85737
654	2.30973	2.3887E-4	0.85761
655	2.31592	2.3951E-4	0.85785
656	4.73858	4.9007E-4	0.85834
657	2.32172	2.4011E-4	0.85858
658	2.32626	2.4058E-4	0.85882
659	2.33098	2.4107E-4	0.85906
660	2.33436	2.4142E-4	0.8593
661	2.34316	2.4233E-4	0.85955
662	2.34716	2.4274E-4	0.85979
663	4.72837	4.8901E-4	0.86028
664	4.71888	4.8803E-4	0.86077
665	4.71218	4.8733E-4	0.86125
666	4.70689	4.8679E-4	0.86174
667	4.7052	4.8661E-4	0.86223
668	4.69369	4.8542E-4	0.86271
669	4.68779	4.8481E-4	0.8632
670	4.68158	4.8417E-4	0.86368
